  years of   study in 2017 E.C,Academic program (Bsc),Age,Could you briefly share In what ways have these experiences shaped your academic choices and career development? ,Sum of Cumulative GPA,Do you want to participate in the research interview?,Fields,Gender,Have you participated in any of the following exposure experiences? (Select all that apply),Sum of How have Career fairs exposure influenced your career choices? ,Sum of How have Family influenced your career choices? ,Sum of How have Friends influenced your career choices? ,Sum of How have Internships exposure influenced your career choices?,Sum of How have Job shadowing exposure influenced your career choices?,Sum of How have Mentorship programs exposure influenced your career choices?,Sum of How have University coursework exposure influenced your career choices? ,Sum of How often do you use the career guidance services offered by the university?,Sum of How satisfied are you with the career guidance services provided by the university?,I picked my academic program primarily because of my grades,Language,Study_Category,Sum of To what extent do you feel that your exposure experiences have provided a clear sense of direction for your career?,What additional types of exposure experiences do you think the university should offer to better support students' career development?,What additional types of exposure experiences do you think the university should offer to better support students' career development?.1,What improvements would you suggest for the university’s career guidance services?,Which University are you enrolled in?
1,Accounting and Finance,24-26,How we calculate total revenue and total cost,3.20,Yes,Business & Economics,Male,University coursework related to career development,2,1,1,1,1,3,5,5,5,Yes,English,Lower,4,According to my think it's very important for me and you and all of the other,According to my think it's very important for me and you and all of the other,I improved how relation with society and respect for society and also how I control my emotion in my life,Arba Minch University
1,Adult Education and Community Development,24-26,its best,3.60,Yes,Social Sciences & Humanities,Male,Searching professionals through social networks,4,2,4,2,4,5,3,3,4,Yes,English,Lower,4,very exposw,very exposw,best,AAU
1,BSc,18-20,In any positive way of you can come up with.,4.00,Yes,Other,Male,Searching professionals through social networks,3,5,5,3,4,3,5,2,3,Yes,English,Lower,1,Well i think psychological checkup career during the week will help a lot either to increase their potential & interest of learning. Most of the developed countries have best psychiatrist to check their students status you kNo responsew either educationally No responser personally. So they can find a solution and make them reach their full potential.,Well i think psychological checkup career during the week will help a lot either to increase their potential & interest of learning. Most of the developed countries have best psychiatrist to check their students status you know either educationally nor personally. So they can find a solution and make them reach their full potential.,"To have clear & understandable guidance services.In fact to the of communication to students interest ,freedom & perspective especially freedom of hair since its a big problem and looks like a prison when they make students cut hair Which actually influence the learning influence of students.",AAU
1,BSc,18-20,The only thing I can say is that everything I do defines who I am and how do i think.,3.50,Yes,Other,Male,Internships,5,5,4,4,3,5,3,3,3,Yes,English,Lower,4,No responsething to say,No response,"I recommend that universities incorporate practical sessions into their courses, in addition to the theoretical classes, to enhance hands-on learning and real-world application.",Wachemo University
1,BSc,18-20,Yaw beteseb endtmar yflgal kante gidetam ngr nw siktl demo internship yehone yakil experience yisetal,2.50,Yes,Other,Male,Career fairs,3,3,2,4,4,3,4,3,3,No,Amharic,Lower,4,No response,No response,Tegbar tekor biyaregut elalhu,Wachemo University
1,BSc,21-23,Because we are very faith,3.60,Yes,Other,Male,Career fairs,4,4,4,3,2,2,3,5,5,No,Amharic,Lower,5,Raising construction,Raising construction,Continue,BahirDar University
1,BSc,21-23,Mainly families and environment Which we came influences,3.50,Yes,Other,Male,"InternshipsCareer fairs, University coursework related to career development, Searching professionals through social networks",1,4,3,1,1,1,3,2,2,Yes,English,Lower,3,Showing role models,No response,To orient about the fields and keep their words,AASTU
1,BSc,21-23,No response  in a good way,3.70,Yes,Other,Male,Mentorship programs,4,5,2,4,1,5,2,3,1,No,English,Lower,1,No response,No response,based on Modern research to produce adequate results,Haramaya University
1,BSc,24-26,No response,3.70,Yes,Other,Male,Internships,4,3,5,3,1,5,5,4,4,Yes,English,Lower,4,No response,No response,no,KOGA HEALTH SCIENCE  COLLEGE
1,BSc,24-26,Tell to my friends,3.70,Yes,Other,Male,No,2,4,5,5,4,4,1,5,5,Yes,English,Lower,5,Sociology,Sociology,I asked not clear to me,BahirDar University
1,BSc,Under 18,Through  good,4.00,Yes,Other,Female,"InternshipsJob shadowing, Mentorship programs, Career fairs, University coursework related to career development, Searching professionals through social networks",5,3,3,3,4,5,4,4,3,Yes,English,Lower,4,Business,Business,Be hard,AAU
1,CS,18-20,My friends and internship programs really influenced my career choices. I got to know my niche and etc,3.50,Yes,STEM,Male,InternshipsSearching professionals through social networks,4,2,5,4,3,3,4,2,2,No,English,Lower,2,No response,No response,"To be more practical in their approach and be realistic, and also connecting them to the outer world and companies",Admas University
